userId,movieId,rating,timestamp
1,596,5.0,964982838
1,919,5.0,964982475
1,923,5.0,964981529
1,940,5.0,964982176
1,943,4.0,964983614
1,954,5.0,964983219
1,1024,5.0,964982876
1,1025,5.0,964982791
1,1029,5.0,964982855
1,1032,5.0,964982791
1,1219,2.0,964983393
1,1226,5.0,964983618
1,1256,5.0,964981442
1,1282,5.0,964982703
1,1927,5.0,964981497
1,2018,5.0,964980523
1,2096,4.0,964982838
1,2099,4.0,964982588
1,2366,4.0,964982462
1,2644,4.0,964983393
1,2648,4.0,964983414
1,2654,5.0,964983393
1,2899,5.0,964982703
1,2947,5.0,964982176
1,2948,5.0,964982191
1,2949,5.0,964981888
1,2993,5.0,964982242
1,3062,4.0,964981872
3,914,0.5,1306463567
3,2018,0.5,1306464175
3,2080,0.5,1306463572
4,898,5.0,964623347
4,899,4.0,945079653
4,902,4.0,945078446
4,904,4.0,945079837
4,908,5.0,945173902
4,910,5.0,945173989
4,912,5.0,945173902
4,914,5.0,945079670
4,919,5.0,945079521
4,920,5.0,945173602
4,930,5.0,964538571
4,937,3.0,986849085
4,1025,4.0,945079232
4,1086,5.0,964539723
4,1103,5.0,964539723
4,1203,5.0,945174025
4,1219,4.0,964539961
4,1250,5.0,945174008
4,1282,5.0,945079653
4,1283,5.0,945078690
4,1947,5.0,945079653
4,2019,2.0,945078690
4,2186,5.0,945174008
4,2203,4.0,945079729
4,2204,5.0,964540008
4,2351,4.0,945078467
4,2874,4.0,986935016
4,3365,5.0,964538329
5,594,5.0,847435238
5,596,5.0,847435292
6,594,4.0,845553819
6,596,3.0,845554141
7,920,3.0,1106635685
7,1219,5.0,1106635496
7,2019,5.0,1106713565
9,922,4.0,1044657026
9,923,5.0,1044657026
10,912,4.0,1455302254
10,1028,0.5,1455306152
12,920,4.5,1247264114
15,596,2.0,1510578088
15,2085,1.5,1510578050
16,904,3.5,1377476805
16,912,3.5,1377476810
16,913,4.0,1377477016
16,923,3.5,1377477349
16,1203,4.0,1377476856
16,1207,4.0,1377476891
16,1219,3.0,1377477594
16,1260,4.0,1377476887
16,1267,4.0,1377477387
16,1281,3.0,1377477580
16,2019,4.0,1377476792
16,3022,3.5,1377477000
17,899,3.5,1305696265
