movieId,title,genres,year
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964.0
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,1937.0
596,Pinocchio (1940),Animation|Children|Fantasy|Musical,1940.0
668,Song of the Little Road (Pather Panchali) (1955),Drama,1955.0
670,"World of Apu, The (Apur Sansar) (1959)",Drama,1959.0
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller,1965.0
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror,1959.0
897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War,1943.0
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,1940.0
899,Singin' in the Rain (1952),Comedy|Musical|Romance,1952.0
900,"American in Paris, An (1951)",Musical|Romance,1951.0
901,Funny Face (1957),Comedy|Musical,1957.0
902,Breakfast at Tiffany's (1961),Drama|Romance,1961.0
903,Vertigo (1958),Drama|Mystery|Romance|Thriller,1958.0
904,Rear Window (1954),Mystery|Thriller,1954.0
905,It Happened One Night (1934),Comedy|Romance,1934.0
906,Gaslight (1944),Drama|Thriller,1944.0
907,"Gay Divorcee, The (1934)",Comedy|Musical|Romance,1934.0
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,1959.0
909,"Apartment, The (1960)",Comedy|Drama|Romance,1960.0
910,Some Like It Hot (1959),Comedy|Crime,1959.0
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,1963.0
912,Casablanca (1942),Drama|Romance,1942.0
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,1941.0
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,1964.0
915,Sabrina (1954),Comedy|Romance,1954.0
916,Roman Holiday (1953),Comedy|Drama|Romance,1953.0
917,"Little Princess, The (1939)",Children|Drama,1939.0
918,Meet Me in St. Louis (1944),Musical,1944.0
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,1939.0
920,Gone with the Wind (1939),Drama|Romance|War,1939.0
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,1950.0
923,Citizen Kane (1941),Drama|Mystery,1941.0
926,All About Eve (1950),Drama,1950.0
927,"Women, The (1939)",Comedy,1939.0
928,Rebecca (1940),Drama|Mystery|Romance|Thriller,1940.0
929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller,1940.0
930,Notorious (1946),Film-Noir|Romance|Thriller,1946.0
931,Spellbound (1945),Mystery|Romance|Thriller,1945.0
932,"Affair to Remember, An (1957)",Drama|Romance,1957.0
933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,1955.0
934,Father of the Bride (1950),Comedy,1950.0
935,"Band Wagon, The (1953)",Comedy|Musical,1953.0
936,Ninotchka (1939),Comedy|Romance,1939.0
937,Love in the Afternoon (1957),Comedy|Romance,1957.0
938,Gigi (1958),Musical,1958.0
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,1938.0
941,"Mark of Zorro, The (1940)",Adventure,1940.0
942,Laura (1944),Crime|Film-Noir|Mystery,1944.0
943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,1947.0
944,Lost Horizon (1937),Drama,1937.0
945,Top Hat (1935),Comedy|Musical|Romance,1935.0
946,To Be or Not to Be (1942),Comedy|Drama|War,1942.0
947,My Man Godfrey (1936),Comedy|Romance,1936.0
948,Giant (1956),Drama|Romance|Western,1956.0
949,East of Eden (1955),Drama,1955.0
950,"Thin Man, The (1934)",Comedy|Crime,1934.0
951,His Girl Friday (1940),Comedy|Romance,1940.0
952,Around the World in 80 Days (1956),Adventure|Comedy,1956.0
953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,1946.0
954,Mr. Smith Goes to Washington (1939),Drama,1939.0
955,Bringing Up Baby (1938),Comedy|Romance,1938.0
956,Penny Serenade (1941),Drama|Romance,1941.0
959,Of Human Bondage (1934),Drama,1934.0
961,Little Lord Fauntleroy (1936),Drama,1936.0
963,"Inspector General, The (1949)",Musical,1949.0
965,"39 Steps, The (1935)",Drama|Mystery|Thriller,1935.0
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,1951.0
970,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance,1953.0
971,Cat on a Hot Tin Roof (1958),Drama,1958.0
973,Meet John Doe (1941),Comedy|Drama,1941.0
976,"Farewell to Arms, A (1932)",Romance|War,1932.0
982,Picnic (1955),Drama,1955.0
1008,"Davy Crockett, King of the Wild Frontier (1955)",Adventure|Western,1955.0
1012,Old Yeller (1957),Children|Drama,1957.0
1013,"Parent Trap, The (1961)",Children|Comedy|Romance,1961.0
1014,Pollyanna (1960),Children|Comedy|Drama,1960.0
1016,"Shaggy Dog, The (1959)",Children|Comedy,1959.0
1017,Swiss Family Robinson (1960),Adventure|Children,1960.0
1018,That Darn Cat! (1965),Children|Comedy|Mystery,1965.0
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,1954.0
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,1950.0
1024,"Three Caballeros, The (1945)",Animation|Children|Musical,1945.0
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,1963.0
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,1964.0
1029,Dumbo (1941),Animation|Children|Drama|Musical,1941.0
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,1951.0
1035,"Sound of Music, The (1965)",Musical|Romance,1965.0
1066,Shall We Dance (1937),Comedy|Musical|Romance,1937.0
1068,Crossfire (1947),Crime|Film-Noir,1947.0
